"","yearid","year_1b","year_2","id_1b","id_2","coninc_1b","coninc_2","race_1b","sexnow_1b","sexnow1_2","affrmact_norm1b","gunlaw_norm1b","partyid_norm1b","affrmact_norm2","gunlaw_norm2","partyid_norm2"
"112",20180986,2018,2020,986,1238,70100,55440,1,NA,2,1,1,0.833333333333333,1,0,0.666666666666667
"113",20181014,2018,2020,1014,1249,84120,80640,1,NA,2,1,0,1,1,0,1
"114",20181023,2018,2020,1023,1253,11391.25,NA,2,NA,2,0,0,0,0,1,0
"115",20181027,2018,2020,1027,1254,158201.84123,168736.29696,1,NA,1,1,0,1,1,0,1
"116",20181031,2018,2020,1031,1256,158201.84123,168736.29696,1,NA,1,1,1,0.666666666666667,1,1,0.666666666666667
"117",20181035,2018,2020,1035,1258,7886.25,15960,1,NA,1,0.666666666666667,0,0.666666666666667,1,0,0.833333333333333
"118",20181040,2018,2020,1040,1262,84120,94080,1,NA,2,1,0,0.333333333333333,1,0,0.5
"119",20181042,2018,2020,1042,1263,112160,107520,2,NA,2,0,0,0.166666666666667,0,0,0
"120",20181051,2018,2020,1051,1267,9638.75,9240,2,NA,1,1,1,0,0,1,0
"121",20181056,2018,2020,1056,1269,7886.25,NA,1,NA,1,0.666666666666667,0,0,0.666666666666667,1,0.166666666666667
"122",20181065,2018,2020,1065,1273,14896.25,36960,3,NA,1,0,0,0.166666666666667,0.666666666666667,0,0.166666666666667
"123",20181074,2018,2020,1074,1276,13143.75,15960,2,NA,2,0,0,0,0,0,0
"124",20181078,2018,2020,1078,1280,98140,80640,1,NA,2,0.666666666666667,0,0,0.666666666666667,1,0
"125",20181087,2018,2020,1087,1283,47317.5,30240,1,NA,2,1,0,0.166666666666667,0.666666666666667,0,0.166666666666667
"126",20181098,2018,2020,1098,1287,22782.5,30240,1,NA,1,1,0,0,1,0,0
"127",20181101,2018,2020,1101,1290,22782.5,9240,1,NA,1,0.666666666666667,0,0.5,0.666666666666667,1,0.5
"128",20181104,2018,2020,1104,1292,14896.25,NA,1,NA,1,0.666666666666667,0,0.666666666666667,NA,0,0.666666666666667
"129",20181107,2018,2020,1107,1295,98140,94080,2,NA,1,1,0,0.333333333333333,0.333333333333333,0,0.166666666666667
"130",20181109,2018,2020,1109,1297,22782.5,21840,1,NA,1,0.333333333333333,1,0.166666666666667,0.666666666666667,0,0
"131",20181111,2018,2020,1111,1298,70100,67200,1,NA,2,1,0,0.166666666666667,1,0,0.166666666666667
"132",20181125,2018,2020,1125,1303,13143.75,15960,1,NA,1,1,1,1,1,1,1
"133",20181130,2018,2020,1130,1307,57832.5,94080,1,NA,1,0.666666666666667,1,0.833333333333333,1,1,0.666666666666667
"134",20181132,2018,2020,1132,1308,158201.84123,30240,1,NA,1,0,0,0,0,0,0
"135",20181148,2018,2020,1148,1313,14896.25,107520,3,NA,2,0.666666666666667,0,0.166666666666667,0,0,0.166666666666667
"136",20181151,2018,2020,1151,1314,70100,55440,3,NA,1,1,0,0.5,1,0,0.5
"137",20181156,2018,2020,1156,1317,70100,NA,3,NA,2,0,0,0.333333333333333,0.666666666666667,0,0.333333333333333
"138",20181167,2018,2020,1167,1323,158201.84123,168736.29696,1,NA,1,0.666666666666667,1,0.833333333333333,1,1,1
"139",20181178,2018,2020,1178,1327,47317.5,36960,1,NA,2,1,0,0.333333333333333,1,0,0.333333333333333
"140",20181190,2018,2020,1190,1331,112160,94080,1,NA,2,1,0,1,1,1,1
"141",20181200,2018,2020,1200,1335,11391.25,10920,1,NA,2,1,1,0.5,1,1,0.833333333333333
"142",20181213,2018,2020,1213,1338,19277.5,18480,1,NA,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0
"143",20181228,2018,2020,1228,1341,22782.5,30240,1,NA,2,1,1,0.666666666666667,1,1,0.833333333333333
"144",20181242,2018,2020,1242,1342,84120,80640,1,NA,2,0.666666666666667,0,0,0.666666666666667,0,0.166666666666667
"145",20181257,2018,2020,1257,1346,31545,1344,1,NA,2,0,0,0.166666666666667,0.333333333333333,0,0.166666666666667
"146",20181258,2018,2020,1258,1347,31545,30240,1,NA,1,1,1,0.166666666666667,NA,1,0.166666666666667
"147",20181261,2018,2020,1261,1349,38555,45360,1,NA,2,0,0,0,0,0,0
"148",20181277,2018,2020,1277,1355,16648.75,18480,3,NA,2,0,0,0,0.333333333333333,0,0.5
"149",20181302,2018,2020,1302,1363,84120,80640,1,NA,2,0.333333333333333,1,0.166666666666667,0,1,0.333333333333333
"150",20181306,2018,2020,1306,1365,38555,45360,1,NA,2,0.666666666666667,0,0.166666666666667,1,0,0
"151",20181311,2018,2020,1311,1368,31545,NA,2,NA,1,0,0,0.166666666666667,0,0,0.5
"152",20181320,2018,2020,1320,1370,47317.5,55440,1,NA,2,0.666666666666667,0,0.833333333333333,1,0,0.833333333333333
"153",20181326,2018,2020,1326,1375,5257.5,NA,2,NA,2,0.333333333333333,0,0,0,1,0.166666666666667
"154",20181329,2018,2020,1329,1376,38555,30240,1,NA,2,1,0,1,1,1,1
"155",20181333,2018,2020,1333,1378,47317.5,45360,1,NA,2,0.666666666666667,0,0.833333333333333,1,1,1
"156",20181338,2018,2020,1338,1381,112160,168736.29696,1,NA,1,1,0,0.333333333333333,1,0,0.666666666666667
"157",20181340,2018,2020,1340,1382,11391.25,NA,3,NA,2,0.666666666666667,0,0.333333333333333,0,0,0
"158",20181345,2018,2020,1345,1383,47317.5,25200,1,NA,2,0,0,0.833333333333333,1,1,1
"159",20181356,2018,2020,1356,1386,16648.75,55440,3,NA,2,1,0,0.333333333333333,0.333333333333333,0,0.333333333333333
"160",20181359,2018,2020,1359,1389,158201.84123,168736.29696,1,NA,2,0.666666666666667,0,0,1,0,0
